# VISCACHA VII Table 3: SMC Wing and Magellanic Bridge star clusters.
# Source: MNRAS 524, 2244-2271 (2023), Table 3.
# Columns use ASCII and one-sigma uncertainties. Empty rt_arcsec values are clusters
# where the VISCACHA paper reports no converged tidal radius.
name	galaxy	ra_hms	dec_dms	rt_arcsec	e_rt_arcsec	age_gyr	e_age_gyr_plus	e_age_gyr_minus	feh	e_feh	distance_kpc	e_distance_kpc	ebv	e_ebv	abs_v	e_abs_v	log_mass	e_log_mass
HW55	SMC/Bridge	01:07:20.0	-73:22:39	113	31	2.22	0.29	0.29	-0.71	0.26	64.3	5.0	0.09	0.09	-4.59	0.18	3.58	0.13
K55	SMC/Bridge	01:08:23.0	-72:21:11	99	16	0.52	0.03	0.03	-0.38	0.10	52.0	1.7	0.02	0.02	-5.01	0.07	3.37	0.10
K57	SMC/Bridge	01:08:22.6	-72:22:42	73	10	0.53	0.15	0.15	-0.40	0.30	53.0	3.4	0.03	0.03	-5.33	0.14	3.50	0.14
HW59	SMC/Bridge	01:08:43.0	-72:53:40			6.8	2.4	2.4	-0.99	0.35	69.2	8.0	0.09	0.08	-4.01	0.26	3.64	0.18
HW63	SMC/Bridge	01:10:40.0	-73:01:12	103	25	2.53	0.24	0.24	-0.62	0.23	67.6	6.5	0.05	0.05	-4.66	0.21	3.64	0.14
L92	SMC/Bridge	01:12:40.6	-73:33:28	58	6	0.117	0.028	0.028	-0.50	0.17	54.7	4.8	0.11	0.03	-5.55	0.19	3.19	0.14
L93	SMC/Bridge	01:14:55.2	-73:23:25	96	21	3.02	0.30	0.30	-0.70	0.22	57.5	2.4	0.06	0.04	-4.63	0.09	3.68	0.11
L91	SMC/Bridge	01:15:46.5	-72:08:36	100	7	3.9	0.5	0.5	-0.82	0.08	59.2	2.5	0.15	0.03	-5.39	0.09	4.05	0.12
B147	SMC/Bridge	01:18:26.0	-74:16:27			0.19	0.06	0.06	-0.26	0.15	50.0	4.1	0.18	0.05	-5.61	0.19	3.33	0.15
HW71se	SMC/Bridge	01:18:46.0	-74:41:37	32	8	0.16	0.05	0.05	-0.53	0.21	57.3	7.1	0.03	0.05	-5.07	0.27	3.07	0.17
HW75	SMC/Bridge	01:22:20.0	-72:22:42	54	15	0.11	0.03	0.03	-0.56	0.13	53.7	4.9	0.13	0.05	-5.08	0.21	2.99	0.15
HW77	SMC/Bridge	01:22:26.0	-71:50:00	86	15	1.12	0.10	0.10	-1.02	0.11	58.3	3.2	0.04	0.03	-4.44	0.15	3.35	0.12
HW78	SMC/Bridge	01:22:37.0	-73:18:26	123	36	0.051	0.007	0.007	-0.39	0.09	53.0	3.9	0.15	0.04	-6.31	0.17	3.27	0.12
L101	SMC/Bridge	01:24:54.2	-72:41:59	86	24	0.013	0.025	0.003	-0.27	0.13	51.1	4.2	0.09	0.04	-5.74	0.18	2.68	0.29
HW81	SMC/Bridge	01:25:07.0	-72:36:45	51	11	0.004	0.001	0.001	-0.11	0.18	68.2	9.4	0.21	0.04	-7.53	0.30	3.09	0.16
HW82	SMC/Bridge	01:25:31.0	-72:06:11			0.050	0.013	0.013	-0.41	0.15	61.4	7.6	0.13	0.05	-6.69	0.28	3.42	0.16
L104	SMC/Bridge	01:27:14.8	-72:40:08	68	27	0.030	0.007	0.007	-0.25	0.16	65.8	6.1	0.08	0.04	-6.95	0.20	3.39	0.14
B165	SMC/Bridge	01:28:13.0	-73:28:59	55	41	0.33	0.08	0.08	-0.54	0.18	52.0	7.4	0.01	0.05	-3.86	0.31	2.79	0.17
BS187	SMC/Bridge	01:36:20.0	-73:15:57	67	26	1.01	0.22	0.22	-0.92	0.15	52.7	3.9	0.15	0.05	-4.36	0.17	3.28	0.13
L107	SMC/Bridge	01:40:09.4	-71:19:07	75	10	0.013	0.005	0.005	-0.41	0.17	55.7	7.7	0.06	0.04	-7.03	0.31	3.20	0.18
L109	SMC/Bridge	01:41:34.4	-71:33:27	78	9	4.06	0.52	0.52	-0.79	0.21	58.6	2.7	0.09	0.04	-4.15	0.10	3.56	0.12
L110	SMC/Bridge	01:45:29.3	-72:28:33	101	3	5.0	0.7	0.7	-0.94	0.11	61.7	4.3	0.07	0.04	-5.59	0.15	4.19	0.13
HW86	SMC/Bridge	01:55:31.0	-74:14:18	96	15	1.46	0.10	0.10	-0.69	0.12	51.3	2.8	0.08	0.04	-4.13	0.13	3.29	0.12
WG1	SMC/Bridge	02:08:59.5	-73:11:46	132	18	0.031	0.005	0.005	-0.23	0.14	54.5	4.8	0.20	0.04	-5.94	0.20	2.99	0.13
BS198	SMC/Bridge	02:12:52.0	-74:01:44	98	34	0.011	0.005	0.005	-0.37	0.22	58.3	7.5	0.15	0.06	-3.97	0.29	1.93	0.19
L113	SMC/Bridge	02:17:46.3	-73:42:38	132	5	3.9	0.4	0.4	-0.87	0.08	54.7	1.3	0.03	0.03	-5.62	0.05	4.14	0.11
